id,prospettiva,categoria,domanda,risposta,citazioni
1,Lavoratore,Aggiornamento formazione,Ogni quanto devo aggiornare la formazione sulla sicurezza?,Ogni cinque anni è obbligatorio aggiornare la formazione.,fileciteturn3file0
2,Azienda,Aggiornamento formazione,Qual è la durata minima del corso di aggiornamento per i lavoratori?,Almeno 6 ore complessive nel quinquennio.,fileciteturn3file0
3,Lavoratore,Aggiornamento formazione,Posso dividere le 6 ore in più momenti?,"Sì, puoi suddividerle lungo i cinque anni oppure svolgerle in un'unica sessione.",fileciteturn3file0
4,Azienda,Aggiornamento formazione,Possiamo riconoscere seminari o convegni come aggiornamento?,"Sì, fino a un terzo delle ore può essere sostituito da convegni/seminari con verifica finale dell’apprendimento.",fileciteturn3file0
5,Lavoratore,Aggiornamento formazione,Chi deve aggiornarsi oltre ai dipendenti?,Anche chi opera senza compenso nell’organizzazione (ad es. per imparare un mestiere) rientra nell’obbligo.,fileciteturn3file0
6,Azienda,Aggiornamento formazione,Quali argomenti trattare nell’aggiornamento?,Approfondimento dei temi del corso base e novità legislative/normative degli ultimi anni.,fileciteturn3file0
7,Lavoratore,Aggiornamento formazione,Cosa succede se non aggiorno la formazione entro 5 anni?,La formazione decade: non sei più aggiornato su norme e rischi specifici.,fileciteturn3file0
8,Azienda,Aggiornamento formazione,Quali sanzioni per datore/dirigente se i lavoratori non sono aggiornati?,"Art. 37 D.Lgs. 81/2008: arresto da 2 a 4 mesi oppure ammenda da € 1.474,21 a € 6.388,23.",fileciteturn3file0
9,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo I – Principi generali?,"Diritti e doveri di datore, dirigenti, preposti e lavoratori; prevenzione e protezione.",fileciteturn3file0
10,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo I – Principi generali nella formazione specifica?,"Inserisci esempi e procedure aziendali coerenti con: Diritti e doveri di datore, dirigenti, preposti e lavoratori; prevenzione e protezione.",fileciteturn3file0
11,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo II – Luoghi di lavoro?,"Requisiti di salute e sicurezza di ambienti, strutture e impianti.",fileciteturn3file0
12,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo II – Luoghi di lavoro nella formazione specifica?,"Inserisci esempi e procedure aziendali coerenti con: Requisiti di salute e sicurezza di ambienti, strutture e impianti.",fileciteturn3file0
13,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo III – Attrezzature e DPI?,Uso sicuro di macchine/utensili e dispositivi di protezione individuale.,fileciteturn3file0
14,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo III – Attrezzature e DPI nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Uso sicuro di macchine/utensili e dispositivi di protezione individuale.,fileciteturn3file0
15,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo IV – Cantieri temporanei e mobili?,Norme specifiche per i cantieri con elevato rischio infortunistico.,fileciteturn3file0
16,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo IV – Cantieri temporanei e mobili nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Norme specifiche per i cantieri con elevato rischio infortunistico.,fileciteturn3file0
17,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo V – Segnaletica?,Cartelli e segnali per prevenire incidenti e indirizzare comportamenti.,fileciteturn3file0
18,Azienda,D.Lgs. 81/08 – Struttura,Come recepire il Titolo V – Segnaletica nella formazione specifica?,Inserisci esempi e procedure aziendali coerenti con: Cartelli e segnali per prevenire incidenti e indirizzare comportamenti.,fileciteturn3file0
19,Lavoratore,D.Lgs. 81/08 – Struttura,Cosa prevede il Titolo VI – Movimentazione manuale?,Regole per ridurre danni – in particolare alla schiena – durante sollevamento/spostamento.,fileciteturn3file0
