id,prospettiva,categoria,domanda,risposta,citazioni
1,Lavoratore,Classi di rischio,Cosa sono i Rischi per la sicurezza?,"Sono rischi a seguito di impatti fisico‑traumatici (meccanici, elettrici, chimici, termici) e carenze di ambiente, impianti, modalità operative o organizzazione.",fileciteturn2file0
2,Azienda,Classi di rischio,Come valutiamo i Rischi per la sicurezza?,"Includi processo, attrezzature, modalità operative e fattori organizzativi; pianifica misure tecniche, organizzative e DPI.",fileciteturn2file0
3,Lavoratore,Classi di rischio,Fornisci esempi di rischi per la sicurezza in azienda.,"Uso luoghi non sicuri, macchine senza protezioni, impianti elettrici non conformi, incendio/esplosione, vie di fuga inadeguate.",fileciteturn2file0
4,Lavoratore,Classi di rischio,Cosa sono i Rischi per la salute?,"Sono rischi igienico‑ambientali (chimici, fisici, biologici) con effetti spesso non immediati e legati all’esposizione prolungata.",fileciteturn2file0
5,Azienda,Classi di rischio,Come valutiamo i Rischi per la salute?,"Includi processo, attrezzature, modalità operative e fattori organizzativi; pianifica misure tecniche, organizzative e DPI.",fileciteturn2file0
6,Lavoratore,Classi di rischio,Che cosa caratterizza i rischi per la salute?,Sono legati a agenti chimici/fisici/biologici; producono spesso effetti a lungo termine (es. ipoacusia da rumore).,fileciteturn2file0
7,Lavoratore,Classi di rischio,Cosa sono i Rischi trasversali/organizzativi?,"Sono rischi derivanti dal rapporto lavoratore‑organizzazione (turni, carichi, ergonomia, stress lavoro‑correlato).",fileciteturn2file0
8,Azienda,Classi di rischio,Come valutiamo i Rischi trasversali/organizzativi?,"Includi processo, attrezzature, modalità operative e fattori organizzativi; pianifica misure tecniche, organizzative e DPI.",fileciteturn2file0
9,Lavoratore,Classi di rischio,Fai esempi di rischi trasversali/organizzativi.,"Turni prolungati, carichi eccessivi, conflitti, posture scorrette, VDT, movimentazione manuale, ambienti estremi.",fileciteturn2file0
10,Lavoratore,Luoghi di lavoro (art.62),Cosa si intende per 'luogo di lavoro' ai sensi dell’art. 62?,"Qualsiasi ambiente destinato a ospitare postazioni lavorative, interni o esterni, compresi locali tecnici, officine, magazzini e aree visitate occasionalmente.",fileciteturn2file0
11,Azienda,Luoghi di lavoro (art.62),Quali rischi tipici posso trovare in un reparto con macchine utensili e carroponte?,"Meccanici (parti in moto), carichi sospesi, ergonomici (posture ripetitive), fisici (rumore/vibrazioni), elettrici, organizzativi (tempi ciclo).",fileciteturn2file0
12,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
13,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
14,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
15,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
16,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
17,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
18,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
19,Lavoratore,Luoghi di lavoro (art.62),Perché le aree con carichi sospesi devono essere interdette?,"Per evitare urti/cadute di oggetti; servono segnali, allarmi e verifiche periodiche delle attrezzature di sollevamento.",fileciteturn2file0
20,Lavoratore,Requisiti (art.63/All.IV),Qual è l’altezza netta minima di un luogo di lavoro?,"3 metri; possibili deroghe se è garantita adeguata ventilazione. Per uffici/commercio si applicano limiti urbanistici (tipicamente 2,70 m).",fileciteturn2file0
21,Azienda,Requisiti (art.63/All.IV),Come garantiamo l’altezza netta minima di un luogo di lavoro?,"3 metri; possibili deroghe se è garantita adeguata ventilazione. Per uffici/commercio si applicano limiti urbanistici (tipicamente 2,70 m). Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.",fileciteturn2file0
22,Lavoratore,Requisiti (art.63/All.IV),Qual è la cubatura minima per lavoratore?,10 m³ per persona.,fileciteturn2file0
23,Azienda,Requisiti (art.63/All.IV),Come garantiamo la cubatura minima per lavoratore?,10 m³ per persona. Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.,fileciteturn2file0
24,Lavoratore,Requisiti (art.63/All.IV),Qual è la superficie minima per lavoratore?,2 m² per persona in ogni ambiente occupato.,fileciteturn2file0
25,Azienda,Requisiti (art.63/All.IV),Come garantiamo la superficie minima per lavoratore?,2 m² per persona in ogni ambiente occupato. Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.,fileciteturn2file0
26,Lavoratore,Requisiti (art.63/All.IV),Come devono essere vie ed uscite di emergenza?,"Sufficienti per evacuazione rapida, sempre libere e chiaramente segnalate.",fileciteturn2file0
27,Azienda,Requisiti (art.63/All.IV),Come devono essere vie ed uscite di emergenza?,"Sufficienti per evacuazione rapida, sempre libere e chiaramente segnalate. Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.",fileciteturn2file0
28,Lavoratore,Requisiti (art.63/All.IV),Quali requisiti per porte e portoni?,Apribili facilmente dall’interno; numero/dimensioni/posizione adeguati ai flussi.,fileciteturn2file0
29,Azienda,Requisiti (art.63/All.IV),Quali requisiti per porte e portoni?,Apribili facilmente dall’interno; numero/dimensioni/posizione adeguati ai flussi. Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.,fileciteturn2file0
30,Lavoratore,Requisiti (art.63/All.IV),Quali accorgimenti per scale e passaggi?,"Parapetti, gradini antiscivolo, buona manutenzione e percorsi liberi da ostacoli.",fileciteturn2file0
31,Azienda,Requisiti (art.63/All.IV),Quali accorgimenti per scale e passaggi?,"Parapetti, gradini antiscivolo, buona manutenzione e percorsi liberi da ostacoli. Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.",fileciteturn2file0
32,Lavoratore,Requisiti (art.63/All.IV),Cos’è il microclima?,"Insieme di temperatura, umidità, ventilazione, temperatura radiante, attività metabolica e abbigliamento.",fileciteturn2file0
33,Azienda,Requisiti (art.63/All.IV),Come definiamo il microclima?,"Insieme di temperatura, umidità, ventilazione, temperatura radiante, attività metabolica e abbigliamento. Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.",fileciteturn2file0
34,Lavoratore,Requisiti (art.63/All.IV),Perché l’illuminazione è importante?,Riduce affaticamento visivo e incidenti; deve essere sufficiente e adeguata al compito.,fileciteturn2file0
35,Azienda,Requisiti (art.63/All.IV),Come assicuriamo che l’illuminazione è importante?,Riduce affaticamento visivo e incidenti; deve essere sufficiente e adeguata al compito. Pianifica verifiche periodiche e adegua i luoghi di lavoro ai requisiti minimi.,fileciteturn2file0
36,Lavoratore,Servizi/Obblighi (art.64),Quali servizi igienico‑assistenziali servono?,"Locali igienici adeguati e separati, spogliatoi, lavabi; docce quando richiesto; locali di riposo/refezione idonei.",fileciteturn2file0
37,Azienda,Servizi/Obblighi (art.64),E per l’azienda: quali servizi igienico‑assistenziali servono?,"Locali igienici adeguati e separati, spogliatoi, lavabi; docce quando richiesto; locali di riposo/refezione idonei. Inserisci controlli e responsabilità in procedura.",fileciteturn2file0
38,Lavoratore,Servizi/Obblighi (art.64),Come difendersi dagli agenti nocivi?,"Aspirazione/ventilazione, riduzione all’origine, DPI; per polveri: captazione, filtri e pulizia.",fileciteturn2file0
39,Azienda,Servizi/Obblighi (art.64),E per l’azienda: come difendersi dagli agenti nocivi?,"Aspirazione/ventilazione, riduzione all’origine, DPI; per polveri: captazione, filtri e pulizia. Inserisci controlli e responsabilità in procedura.",fileciteturn2file0
